Wall time,Step,Value
1551628673.116083,15473,-1.5145162343978882
1551628697.7330828,15764,-1.514391303062439
1551628722.818083,16116,-1.5152804851531982
1551628774.410083,16857,-1.5171462297439575
1551628798.5280828,17066,-1.5171177387237549
1551628798.843083,17097,-1.5156033039093018
1551628823.639083,17317,-1.5139306783676147
1551628848.332083,17543,-1.515560269355774
1551629005.2340832,19531,-1.5166288614273071
1551629029.035083,19640,-1.5232915878295898
1551629032.975083,19731,-1.5929656028747559
1551629058.858083,20062,-1.5201729536056519
1551629060.7330828,20244,-1.5218806266784668
1551629083.988083,20323,-1.5172039270401
1551629086.208083,20539,-1.5205780267715454
1551629086.603083,20578,-1.5189545154571533
1551629110.948083,20779,-1.5139974355697632
1551629110.9780831,20782,-1.520087718963623
1551629111.728083,20855,-1.5156738758087158
1551629136.444083,21080,-1.516304850578308
1551629137.089083,21144,-1.5175861120224
1551629161.404083,21319,-1.5177011489868164
1551629215.903083,21848,-1.5157334804534912
1551629243.144083,22245,-1.5159971714019775
1551629244.0290828,22330,-1.516544222831726
1551629244.319083,22358,-1.5155858993530273
1551629322.390083,23286,-1.5183860063552856
1551629347.247083,23361,-1.5193305015563965
1551629347.9420831,23427,-1.5196160078048706
1551629373.849083,23670,-1.5158698558807373
1551629374.164083,23701,-1.5181305408477783
1551629401.3370829,24147,-1.5146976709365845
1551629426.3210828,24282,-1.5149670839309692
1551629426.3410828,24284,-1.5148087739944458
1551629426.736083,24322,-1.517798662185669
1551629453.450083,24621,-1.6761269569396973
1551629454.5500832,24727,-1.5156296491622925
1551629479.556083,24934,-1.514919400215149
1551629505.4940832,25253,-1.5160218477249146
1551629506.904083,25391,-1.515703558921814
1551629557.078083,25812,-1.514379858970642
1551629557.448083,25847,-1.5167053937911987
1551629636.3300831,26797,-1.514617919921875
1551629636.340083,26798,-1.5140501260757446
1551629691.264083,27505,-1.5169376134872437
1551629716.3570828,27603,-1.5161973237991333
1551629798.043083,28543,-1.5186007022857666
1551629826.7540832,28970,-1.5179588794708252
1551629827.019083,28996,-1.5180366039276123
1551629851.894083,29062,-1.5173451900482178
1551629853.329083,29201,-1.518433928489685
1551629853.9740832,29263,-1.5205883979797363
1551629908.655083,29829,-1.676127314567566
1551629934.814083,30005,-1.5136799812316895
1551629935.0840828,30031,-1.514004111289978
1551629936.579083,30174,-1.5143470764160156
1551629963.987083,30470,-1.5154743194580078
1551629989.5280828,30612,-1.5159106254577637
1551629990.518083,30706,-1.514237642288208
1551629990.668083,30720,-1.514060378074646
1551630046.0610828,31406,-1.5218185186386108
1551630046.446083,31443,-1.5153454542160034
1551630099.323083,31880,-1.5155640840530396
1551630099.903083,31936,-1.5160425901412964
1551630153.0700831,32435,-1.516322374343872
1551630179.017083,32657,-1.5216890573501587
1551630180.1170828,32762,-1.520312786102295
1551630181.462083,32894,-1.5157922506332397
1551630181.542083,32902,-1.5164657831192017
1551630207.461083,33034,-1.5164539813995361
1551630208.976083,33181,-1.5131677389144897
1551630235.3100832,33375,-1.5181546211242676
1551630235.605083,33403,-1.5162150859832764
1551630263.6400828,33737,-1.514884114265442
1551630263.7700832,33749,-1.5157910585403442
1551630264.160083,33785,-1.5153319835662842
1551630264.730083,33839,-1.518275499343872
1551630289.203083,33876,-1.676127314567566
1551630292.988083,33913,-1.5168691873550415
1551630294.228083,34036,-1.5146400928497314
1551630321.8810828,34362,-1.5186201333999634
1551630347.852083,34525,-1.5193759202957153
1551630348.612083,34599,-1.5202571153640747
1551630405.259083,35354,-1.5178637504577637
1551630430.9020832,35483,-1.5762625932693481
1551630460.075083,35953,-1.5177525281906128
1551630485.3570828,36037,-1.5377386808395386
1551630540.779083,36629,-1.673674464225769
1551630543.747083,36659,-1.5183929204940796
1551630545.7120829,36850,-1.5192831754684448
1551630574.071083,37202,-1.520526647567749
1551630601.4530828,37489,-1.517113208770752
1551630628.906083,37764,-1.5169979333877563
1551630654.692083,37876,-1.515629768371582
1551630710.204083,38455,-1.5559544563293457
1551630712.939083,38720,-1.5138756036758423
1551630739.3610828,38840,-1.5217243432998657
1551630768.927083,39296,-1.5159471035003662
1551630822.914083,39702,-1.5154911279678345
1551630825.019083,39909,-1.5149980783462524
1551630878.362083,40296,-1.520359992980957
1551630880.4920828,40500,-1.5220403671264648
1551630907.3970828,40720,-1.5130809545516968
1551630908.147083,40793,-1.5157390832901
1551630935.756083,41040,-1.5161657333374023
1551630962.928083,41271,-1.5160881280899048
1551630990.385083,41539,-1.5165345668792725
1551631047.098083,42134,-1.517541766166687
1551631075.3770828,42450,-1.5173618793487549
1551631075.5670831,42468,-1.5155718326568604
1551631163.0410829,43518,-1.513898491859436
1551631189.701083,43639,-1.5157203674316406
1551631190.466083,43711,-1.5160614252090454
1551631191.456083,43805,-1.515824794769287
1551631218.865083,43993,-1.5144450664520264
1551631219.695083,44073,-1.5147435665130615
1551631247.184083,44200,-1.6761270761489868
1551631247.2540832,44207,-1.6761270761489868
1551631247.724083,44251,-1.519812822341919
1551631248.2740831,44304,-1.5173568725585938
1551631305.518083,44816,-1.5156517028808594
1551631307.063083,44964,-1.5157713890075684
1551631362.424083,45372,-1.5183351039886475
1551631363.8240829,45507,-1.5164295434951782
1551631365.414083,45658,-1.517390489578247
1551631449.163083,46334,-1.676127314567566
1551631449.9780831,46413,-1.519393801689148
1551631536.384083,47301,-1.522579312324524
1551631566.388083,47638,-1.5169689655303955
1551631567.503083,47744,-1.5135236978530884
1551631595.885083,47970,-1.519265055656433
1551631622.910083,48076,-1.520815134048462
1551631624.0050828,48181,-1.5166832208633423
1551631657.240083,48522,-1.5137791633605957
1551631717.296083,49272,-1.5172781944274902
1551631744.259083,49351,-1.5142585039138794
1551631745.574083,49477,-1.516968011856079
1551631806.035083,50006,-1.5227980613708496
1551631806.5450828,50056,-1.51890230178833
1551631807.995083,50195,-1.5163494348526
1551631866.8010828,50819,-1.5151102542877197
1551631894.9360828,50979,-1.5200209617614746
1551631896.526083,51134,-1.514879822731018
1551631923.408083,51227,-1.5172747373580933
1551631982.1010828,51798,-1.5207781791687012
1551632013.4180832,52292,-1.5203574895858765
1551632070.4850829,52682,-1.5662257671356201
1551632072.780083,52906,-1.515137791633606
1551632073.115083,52939,-1.5156688690185547
1551632101.426083,53092,-1.5150856971740723
1551632101.5860832,53107,-1.5155787467956543
1551632132.258083,53468,-1.5218915939331055
1551632161.3410828,53706,-1.533947229385376
1551632161.451083,53717,-1.5151766538619995
1551632189.183083,53862,-1.523285984992981
1551632189.643083,53906,-1.5188161134719849
1551632191.928083,54123,-1.520796775817871
1551632280.5610828,54807,-1.5161019563674927
1551632281.906083,54937,-1.5148612260818481
1551632312.6980832,55299,-1.518509864807129
1551632341.927083,55543,-1.5184648036956787
1551632370.3570828,55766,-1.5158541202545166
1551632430.9299998,56337,-1.5148295164108276
1551632432.82,56521,-1.5161429643630981
1551632461.4689999,56608,-1.5382812023162842
1551632463.299,56787,-1.5191829204559326
1551632463.644,56820,-1.5195062160491943
1551632523.6529999,57305,-1.5198206901550293
1551632553.2940001,57484,-1.521323323249817
1551632644.5049999,58440,-1.5154389142990112
1551632674.3,58719,-1.5153415203094482
1551632674.58,58746,-1.5143131017684937
1551632674.7500002,58763,-1.5155385732650757
1551632707.449,59264,-1.5215802192687988
1551632735.7299998,59311,-1.515543818473816
1551632736.9750001,59432,-1.5182569026947021
1551632767.127,59640,-1.666641116142273
1551632800.485,60179,-1.5188970565795898
1551632828.3980002,60185,-1.5197837352752686
1551632828.6230001,60207,-1.5165296792984009
1551632829.548,60297,-1.5478779077529907
1551632831.408,60475,-1.5163819789886475
1551632922.493,61205,-1.5152326822280884
1551632923.2380002,61276,-1.516095757484436
1551633014.904,62139,-1.517282247543335
1551633046.664,62547,-1.5141420364379883
1551633167.704,63513,-1.6047707796096802
1551633169.319,63671,-1.5139981508255005
1551633199.191,63865,-1.5154112577438354
1551633261.7350001,64521,-1.5159320831298828
1551633293.533,64889,-1.5193804502487183
1551633325.692,65292,-1.5131694078445435
1551633384.9459999,65601,-1.5217243432998657
1551633385.371,65643,-1.516634225845337
1551633418.132,66049,-1.517548680305481
1551633482.149,66787,-1.5197253227233887
1551633512.1030002,66976,-1.5190061330795288
1551633512.558,67021,-1.5183624029159546
1551633574.692,67440,-1.5213263034820557
1551633640.956,68281,-1.5186424255371094
1551633671.053,68378,-1.516501784324646
1551633673.253,68590,-1.514392375946045
1551633736.44,69171,-1.5146335363388062
1551633736.58,69185,-1.5134203433990479
1551633768.1009998,69455,-1.515755534172058
1551633799.443,69719,-1.5155177116394043
1551633800.263,69798,-1.5170025825500488
1551633830.2910001,69915,-1.5162147283554077
1551633893.737,70462,-1.5145553350448608
1551633894.9420002,70580,-1.5153194665908813
1551633895.727,70656,-1.5141594409942627
1551633927.554,70996,-1.5133581161499023
1551633989.514,71428,-1.515277624130249
1551633990.824,71554,-1.5176396369934082
1551634023.1379998,71906,-1.5149321556091309
1551634052.412,71957,-1.5200083255767822
1551634052.632,71979,-1.5127218961715698
1551634052.982,72012,-1.5135440826416016
1551634053.237,72037,-1.5178123712539673
1551634084.5449998,72297,-1.5185325145721436
1551634084.5649998,72299,-1.5148804187774658
1551634085.645,72401,-1.5152180194854736
1551634085.675,72404,-1.5140373706817627
1551634117.875,72723,-1.5193209648132324
1551634149.633,73009,-1.515704870223999
1551634180.483,73179,-1.5179321765899658
1551634244.936,73794,-1.522447943687439
1551634246.281,73924,-1.5154552459716797
1551634278.286,74187,-1.5183030366897583
1551634408.849,75487,-1.517732858657837
1551634505.391,76218,-1.5190221071243286
1551634537.558,76482,-1.5165997743606567
1551634539.028,76626,-1.516345739364624
1551634539.513,76673,-1.5180704593658447
1551634570.313,76790,-1.676127552986145
1551634571.498,76906,-1.5353178977966309
1551634571.568,76913,-1.5308704376220703
1551634604.032,77198,-1.5171164274215698
1551634670.557,77901,-1.5159327983856201
1551634702.689,78135,-1.5141499042510986
1551634703.4390001,78208,-1.517739176750183
1551634769.033,78775,-1.5136953592300415
1551634799.575,78843,-1.5238696336746216
1551634800.376,78920,-1.5150322914123535
1551634800.526,78934,-1.5157896280288696
1551634800.926,78973,-1.5191137790679932
1551634801.2510002,79005,-1.5157246589660645
1551634866.48,79597,-1.5153160095214844
1551634900.152,79975,-1.5234460830688477
1551634900.742,80031,-1.5206154584884644
1551634931.177,80100,-1.514520287513733
1551634931.852,80165,-1.5163509845733643
1551634964.557,80390,-1.515662431716919
1551634964.722,80406,-1.5146716833114624
1551634966.217,80550,-1.5150572061538696
1551634966.497,80576,-1.512657642364502
1551634966.882,80613,-1.5147711038589478
1551635030.668,80996,-1.676127552986145
1551635030.8579998,81015,-1.676127314567566
1551635064.6030002,81381,-1.513370156288147
1551635065.753,81494,-1.51441490650177
1551635199.29,82736,-1.5181294679641724
1551635229.5110002,82770,-1.515454888343811
1551635230.316,82849,-1.5160620212554932
1551635264.957,83267,-1.519499659538269
1551635330.381,83762,-1.5151833295822144
1551635397.577,84409,-1.517266035079956
