Wall time,Step,Value
1551627466.128083,1,425.93304443359375
1551627469.4920828,2,552.5302124023438
1551627472.950083,3,589.379638671875
1551627476.272083,4,648.5909423828125
1551627500.484083,5,561.9415893554688
1551627523.331083,6,147.01828002929688
1551627535.411083,7,649.5476684570312
1551627556.451083,8,-24.49945831298828
1551627558.827083,9,-27.853618621826172
1551627562.970083,10,233.32437133789062
1551627574.4730828,11,94.7320556640625
1551627583.8260832,12,632.7218017578125
1551627607.840083,13,503.4879150390625
1551627626.903083,14,32.500694274902344
1551627632.277083,15,40.001258850097656
1551627636.5300832,16,-48.55289840698242
1551627639.251083,17,177.6468505859375
1551627649.105083,18,739.0006713867188
1551627673.432083,19,663.939453125
1551627697.4000828,20,809.9303588867188
1551627721.8810828,21,717.7373657226562
1551627743.0840828,22,45.12428665161133
1551627748.5770829,23,60.2861328125
1551627753.9220831,24,-36.278934478759766
1551627759.0250828,25,878.5864868164062
1551627782.315083,26,529.5823364257812
1551627802.614083,27,869.2155151367188
1551627826.983083,28,851.8366088867188
1551627851.892083,29,889.6485595703125
1551627875.855083,30,615.6226806640625
1551627894.986083,31,925.9478759765625
1551627919.7120829,32,945.7394409179688
1551627944.450083,33,962.9992065429688
1551627969.388083,34,954.5322875976562
1551627991.776083,35,-9.226863861083984
1551627997.264083,36,993.623291015625
1551628021.9890828,37,997.5545654296875
1551628047.200083,38,938.6668090820312
1551628071.432083,39,1030.8072509765625
1551628095.704083,40,1072.1568603515625
1551628117.336083,41,-26.851194381713867
1551628122.175083,42,1037.7677001953125
1551628147.300083,43,1065.8868408203125
1551628172.667083,44,1079.983154296875
1551628196.840083,45,1099.3365478515625
1551628221.1930828,46,1079.6759033203125
1551628246.369083,47,1157.5169677734375
1551628272.463083,48,1142.6217041015625
1551628298.338083,49,1117.936767578125
1551628323.513083,50,1154.2933349609375
1551628349.243083,51,1178.16845703125
1551628374.803083,52,1183.043212890625
1551628400.562083,53,1183.378662109375
1551628426.026083,54,1185.0032958984375
1551628451.463083,55,1188.9044189453125
1551628476.851083,56,1204.3155517578125
1551628501.728083,57,1253.570556640625
1551628526.954083,58,1223.8739013671875
1551628551.9490829,59,1247.0389404296875
1551628576.490083,60,1257.820068359375
1551628601.407083,61,1262.07080078125
1551628625.869083,62,1264.647216796875
1551628650.683083,63,1269.779296875
1551628675.666083,64,1261.8720703125
1551628700.388083,65,1297.0616455078125
1551628725.0080829,66,1288.6278076171875
1551628749.915083,67,1292.287109375
1551628775.150083,68,1302.640625
1551628800.228083,69,1295.0843505859375
1551628825.8440828,70,1310.2044677734375
1551628851.278083,71,1308.1212158203125
1551628877.0670831,72,1312.6549072265625
1551628902.7700832,73,1299.86962890625
1551628928.4580832,74,1304.79541015625
1551628954.542083,75,1318.935791015625
1551628980.4020832,76,1330.271240234375
1551629006.339083,77,1329.529541015625
1551629029.4000828,78,61.9162483215332
1551629035.500083,79,1320.4940185546875
1551629061.073083,80,1328.81396484375
1551629086.603083,81,1339.8895263671875
1551629111.9780831,82,1332.864013671875
1551629137.4490829,83,1322.1287841796875
1551629163.059083,84,1335.98193359375
1551629189.517083,85,1342.0643310546875
1551629212.755083,86,49.007598876953125
1551629218.668083,87,1329.0587158203125
1551629244.934083,88,1331.77197265625
1551629271.192083,89,1344.72119140625
1551629297.115083,90,1343.2984619140625
1551629322.755083,91,1347.6492919921875
1551629349.9520829,92,1345.194091796875
1551629376.414083,93,1339.45849609375
1551629402.127083,94,1337.8853759765625
1551629428.8240829,95,1349.796142578125
1551629455.5850828,96,1353.274658203125
1551629481.551083,97,1355.9884033203125
1551629507.294083,98,1347.7862548828125
1551629533.271083,99,1359.3414306640625
1551629559.318083,100,1353.2947998046875
1551629585.322083,101,1352.93310546875
1551629611.306083,102,1357.0743408203125
1551629637.710083,103,1362.634765625
1551629664.6960828,104,1362.07373046875
1551629691.594083,105,1357.9034423828125
1551629718.792083,106,1356.58837890625
1551629745.659083,107,1359.9923095703125
1551629773.131083,108,1355.7037353515625
1551629800.108083,109,1349.75048828125
1551629827.4690828,110,1363.266357421875
1551629854.764083,111,1360.2264404296875
1551629882.3010828,112,1364.359130859375
1551629909.875083,113,1349.1199951171875
1551629937.3040829,114,1366.785888671875
1551629964.752083,115,1353.5899658203125
1551629991.9930828,116,1367.332275390625
1551630019.313083,117,1351.72509765625
1551630046.496083,118,1363.7271728515625
1551630073.852083,119,1361.6729736328125
1551630101.093083,120,1363.7481689453125
1551630128.113083,121,1369.9461669921875
1551630155.3250828,122,1361.2430419921875
1551630182.072083,123,1358.650390625
1551630209.726083,124,1370.0655517578125
1551630237.2150831,125,1342.6143798828125
1551630264.910083,126,1366.601806640625
1551630289.403083,127,76.7578353881836
1551630295.868083,128,1370.7012939453125
1551630323.2650828,129,1345.7769775390625
1551630350.6420832,130,1354.24658203125
1551630378.231083,131,1358.1597900390625
1551630405.759083,132,1370.3399658203125
1551630433.132083,133,1365.699462890625
1551630460.595083,134,1366.51611328125
1551630488.127083,135,1366.505615234375
1551630515.981083,136,1370.228759765625
1551630540.839083,137,31.8984317779541
1551630546.5970829,138,1352.7335205078125
1551630574.426083,139,1370.2919921875
1551630601.963083,140,1362.4022216796875
1551630629.671083,141,1364.8790283203125
1551630657.4170828,142,1372.3150634765625
1551630684.975083,143,1370.5660400390625
1551630713.164083,144,1346.1024169921875
1551630741.421083,145,1371.0205078125
1551630769.412083,146,1355.1392822265625
1551630797.450083,147,1362.4969482421875
1551630825.404083,148,1351.263916015625
1551630853.223083,149,1363.244873046875
1551630880.9920828,150,1362.665771484375
1551630908.717083,151,1367.438232421875
1551630936.876083,152,1367.2276611328125
1551630964.778083,153,1360.951171875
1551630992.560083,154,1365.79052734375
1551631020.912083,155,1369.0152587890625
1551631049.343083,156,1370.6990966796875
1551631077.507083,157,1362.5980224609375
1551631106.547083,158,1371.9359130859375
1551631135.378083,159,1372.147705078125
1551631163.456083,160,1353.845947265625
1551631192.006083,161,1351.524658203125
1551631220.6000829,162,1370.2239990234375
1551631249.894083,163,1367.4471435546875
1551631279.130083,164,1330.0819091796875
1551631308.093083,165,1352.2054443359375
1551631336.954083,166,1367.67236328125
1551631365.484083,167,1367.2838134765625
1551631393.862083,168,1366.1934814453125
1551631422.706083,169,1371.556884765625
1551631451.543083,170,1351.27099609375
1551631480.2880828,171,1350.2164306640625
1551631509.247083,172,1339.83447265625
1551631538.179083,173,1331.1905517578125
1551631567.793083,174,1371.6717529296875
1551631596.960083,175,1361.5660400390625
1551631626.010083,176,1360.7904052734375
1551631652.483083,177,72.29700469970703
1551631659.235083,178,1363.4273681640625
1551631688.4780831,179,1361.6578369140625
1551631717.736083,180,1367.9539794921875
1551631747.019083,181,1361.473388671875
1551631773.390083,182,25.728662490844727
1551631779.211083,183,1349.4287109375
1551631808.520083,184,1340.5286865234375
1551631837.832083,185,1355.3372802734375
1551631867.1060832,186,1363.2001953125
1551631896.706083,187,1353.9248046875
1551631925.7480829,188,1343.3094482421875
1551631955.2330828,189,1350.1259765625
1551631984.741083,190,1327.853271484375
1551632014.053083,191,1348.8406982421875
1551632043.707083,192,1343.3409423828125
1551632073.2900832,193,1363.965576171875
1551632103.131083,194,1349.4345703125
1551632133.2130828,195,1321.8048095703125
1551632162.926083,196,1366.15283203125
1551632192.308083,197,1338.8897705078125
1551632222.405083,198,1372.3753662109375
1551632252.5970829,199,1365.4493408203125
1551632283.226083,200,1364.2745361328125
1551632313.3630831,201,1355.404541015625
1551632343.192083,202,1360.9713134765625
1551632372.427083,203,1372.3848876953125
1551632402.7680829,204,1372.46826171875
1551632433.3100002,205,1368.8394775390625
1551632464.1590002,206,1366.670166015625
1551632494.721,207,1372.0926513671875
1551632525.368,208,1342.5994873046875
1551632556.274,209,1344.5712890625
1551632586.4659998,210,1369.4124755859375
1551632616.6590002,211,1363.73779296875
1551632646.9299998,212,1368.1629638671875
1551632676.98,213,1372.605224609375
1551632707.579,214,1350.231689453125
1551632738.4750001,215,1360.63623046875
1551632769.5870001,216,1354.62109375
1551632800.4950001,217,1371.39111328125
1551632831.468,218,1370.1951904296875
1551632862.507,219,1360.950439453125
1551632893.425,220,1356.69775390625
1551632924.348,221,1362.75341796875
1551632955.334,222,1340.9276123046875
1551632985.9,223,1338.9375
1551633016.4390001,224,1341.9105224609375
1551633047.089,225,1371.2554931640625
1551633077.7619998,226,1368.1595458984375
1551633108.7900002,227,1325.1429443359375
1551633139.5830002,228,1366.0614013671875
1551633170.554,229,1358.9830322265625
1551633201.551,230,1372.458740234375
1551633232.479,231,1322.8642578125
1551633263.5100002,232,1347.0806884765625
1551633294.638,233,1367.4471435546875
1551633325.742,234,1367.852783203125
1551633356.723,235,1368.16552734375
1551633387.9859998,236,1346.246826171875
1551633419.677,237,1369.3497314453125
1551633451.339,238,1356.9727783203125
1551633482.304,239,1369.355712890625
1551633513.393,240,1364.716552734375
1551633545.42,241,1367.9346923828125
1551633577.4169998,242,1359.6943359375
1551633609.1539998,243,1358.6165771484375
1551633641.221,244,1347.7886962890625
1551633673.4380002,245,1357.58154296875
1551633705.16,246,1368.069091796875
1551633736.8300002,247,1368.123779296875
1551633768.676,248,1366.26953125
1551633800.403,249,1346.3726806640625
1551633832.356,250,1358.9560546875
1551633864.564,251,1372.323974609375
1551633896.3470001,252,1362.423583984375
1551633927.764,253,1367.9462890625
1551633959.498,254,1370.10546875
1551633991.4940002,255,1365.4110107421875
1551634023.268,256,1365.3140869140625
1551634055.1020002,257,1372.4136962890625
1551634086.91,258,1362.89892578125
1551634118.895,259,1360.4315185546875
1551634150.788,260,1371.8905029296875
1551634182.983,261,1365.2523193359375
1551634215.1369998,262,1371.627685546875
1551634247.3409998,263,1325.556396484375
1551634279.7059999,264,1365.0213623046875
1551634312.404,265,1371.80322265625
1551634344.853,266,1365.3729248046875
1551634377.04,267,1353.0477294921875
1551634409.304,268,1363.706298828125
1551634441.608,269,1355.2119140625
1551634474.48,270,1357.548828125
1551634507.621,271,1372.22802734375
